title,abstract,organization,investigators,grant_org,grant_money,source,total_participants,male_participants,female_participants,pct_male,pct_female,grant_date,x_axis,y_axis
CEREBELLUM AND AUTISM: NEURAL MECHANISMS AND MODULATION OF PREDICTIVE PROCESSING,"The goal of this project is to use neuroimaging and neuromodulation to test the hypothesis that cerebellar dysfunction contributes to predictive processing deficits in autism spectrum disorder (ASD). ASD is a neurodevelopmental disorder characterized by social and communication deficits, repetitive behaviors, and restricted interests. The rapidly rising incidence of ASD represents a considerable public health issue, and a better understanding of the neurobiological bases of ASD is necessary ... more",American University,Catherine Stoodley,American University,402769,Lab,23,23,0,1,0,4/1/15,col_16,row_11
A Multimedia Screening System for Early ASD Identification in Diverse Populations,"Although we now have the tools and expertise to diagnose autism spectrum disorders ASD reliably in the 2nd year of life, most children are still diagnosed after their 4th birthday and, in under-resourced, ethnically diverse communities, as late as 8 years of age. These gaps highlight our failure to translate state-of-the art screening and diagnostic practices into practical solutions for identifying the most vulnerable children across socioeconomic strata. This disconnect is highly concerning given ... more",Yale University,Katarzyna Chawarska,Yale University,457875,Lab,306,208,98,0.679738562,0.320261438,4/17/15,col_16,row_12
RNA-Seq studies of gene expression in micro-dissected samples from the brains of individuals with autism and controls,"We seek to understand the cellular bases of autism by using a new technology, RNA-Seq, to determine differences in gene expression in autopsy brains of subjects with well described autism versus age and sex matched neurotypical individuals. We have investigated two specific cortical areas involved in self-awareness and social reciprocity which are abnormal in autism and have found increased expression in a network of genes related to inflammation in autism group A, whereas the remaining cases, autism ... more",,,,,Paper,35,22,13,0.628571429,0.371428571,4/17/15,col_16,row_13
Partners in Schools: A Program for Parents and Teachers of Children with Autism,"The goal of Partners In School is to develop and test a program that will improve parent-teacher communication about interventions for diverse children with autism attending public schools. With support from this enhancement grant, I will compensate parents and teachers for their participation, hire a student for data collection and management, and receive training from the Nebraska Center for Research on Children, Youth, Families, and Schools. Successful completion of this project will result in ... more",University of Pennsylvania,Gazi Azad,,,Lab,46,8,38,0.173913043,0.826086957,4/30/15,col_16,row_14
Sex Differences in the Neural Mechanisms of Treatment Response,"Because of the skewed sex ratio in autism, prior treatment studies have not permitted inference regarding differential treatment response in boys and girls. Here we study how girls respond to an empirically supported behavioral treatment approach, Pivotal Response Training (PRT), to foster development of more effective treatments for girls and boys. We will assess treatment outcome at the behavioral and brain-based level, using functional magnetic resonance imaging (fMRI), to better understand how ... more",Yale Child Study Center,Pamela Ventola,,,Lab,16,9,7,0.5625,0.4375,4/30/15,col_16,row_15
Identifying Biomarkers for Early Detection of Prosody Disorders in ASD using Electroglottography,"Atypical prosody is a characteristic feature of the communication deficit in autism spectrum disorders (ASD). Investigating disorders of prosody in autism is clinically important because disordered expressive prosody is an obstacle to social integration and communication for individuals with ASD and can be a life-long problem even when other areas of language improve. The goal of this project is to identify biomarkers for early detection of prosody disorders is autism. Using electroglottography (EGG), ... more",Emory University,Shweta Ghai and Gordon Ramsay,,,Lab,50,38,12,0.76,0.24,4/30/15,col_16,row_16
Mitochondrial and Channelopathy Disorders and Dysfunction in Autism Spectrum Disorders: Genotypic and Phenotypic Correlations,"Our study enrolled individuals with moderate to severe ASDs associated with intellectual disabilities and/or epilepsy. Subjects underwent extensive clinical testing including brain wave testing, neuropsychological testing (including IQ and other testing), observations of behavior, measurements of sleep, and other tests. All testing and assessments were non-invasive and are tests and procedures that are often done as part of routine clinical care, and thus, are not ""experimental"". The unique and investigational ... more",THE CENTER FOR NEUROLOGICAL AND NEURODEVELOPMENTAL HEALTH,Mark Mintz,,,Lab,26,21,5,0.807692308,0.192307692,4/30/15,col_16,row_17
fMRI for Affective Psychological Studies,The objective of this study is to use dyadic fMRI approach to study two brain interactions.,Princeton University,Ray Lee,,,Lab,19,7,12,0.368421053,0.631578947,4/30/15,col_16,row_18
Effectiveness of MI Enhanced Behavior Therapy for Adolescents with ADHD,"This study evaluates the effectiveness of a family-based psychosocial treatment program for teens with ADHD (STAND; Sibley et al., 2013, 2014) developed to be delivered in community settings. STAND is BT enhanced by Motivational Interviewing (MI) that was developed (R34 MH092466) for teens with ADHD through a stakeholder informed process. A total of 300 adolescents with ADHD will be recruited from four community mental health agencies and randomly assigned to receive STAND or Usual Care (UC) in the ... more",Seattle Children's Hospital,Margaret Harper Sibley,Seattle Childrens Hospital,1695676,Lab,291,201,90,0.690721649,0.309278351,5/1/15,col_16,row_19
Graduated sensory salience as an intervention for intrusive negative thinking,"Intrusive negative cognitions are key transdiagnostic features of many psychiatric disorders, are difficult to treat, and predict poor outcomes in conventional and neurobehavioral interventions. Here, we evaluate the extent to which a novel intervention capitalizing on a preserved neurocircuitry for attending to evolutionarily salient somatosensory stimuli can be used to train attentional mechanisms to override otherwise pre-potent negative cognitions. The R21 period will involve intervention refinement ... more",University of Pittsburgh,Greg Siegle,University Of Pittsburgh At Pittsburgh,1606399,Lab,97,30,67,0.309278351,0.690721649,5/1/15,col_16,row_20
2/2 Somatic mosaicism and autism spectrum disorder,"Somatic mutations are de novo mutations that occur after fertilization. Once a cell has acquired a somatic mutation, all of its progenitors will also carry that mutation. Thus, if a cell acquires a mutation early in embryonic development, the mutation will be carried by many of the cells in the body. However, if the mutation occurs late in development, then only a few cells might carry it. Thus, it is possible to have mutations that only occur in the brain, or a small region of the brain. It has ... more",Yale University,Nenad Sestan,Yale University,1562413,Lab,40,30,10,0.75,0.25,5/1/15,col_16,row_21
Somatic Mosaicism in the Brain of Tourette Syndrome,"Tourette Syndrome (TS) is a disorder of the developing telencephalon for which no significant causative genetic variant has yet emerged through the examination of blood samples. In this proposal we investigate whether somatic mutations might underlie in part the pathogenesis of TS. Existing evidence suggests that cells accumulate somatic mutations after the formation of the zygote, implying that cells of the human body do not have identical DNA sequence. Besides single nucleotide variation (SNV) ... more",Yale University,Flora M. Vaccarino,Yale University,2311150,Lab,43,25,18,0.581395349,0.418604651,5/1/15,col_17,row_01
1/2-Somatic mosaicism and autism spectrum disorder,"Somatic mutations are de novo mutations that occur after fertilization. Once a cell has acquired a somatic mutation, all of its progenitors will also carry that mutation. Thus, if a cell acquires a mutation early in embryonic development, the mutation will be carried by many of the cells in the body. However, if the mutation occurs late in development, then only a few cells might carry it. Thus, it is possible to have mutations that only occur in the brain, or a small region of the brain. It has ... more",Children's Hospital Boston,Christopher A. Walsh,Boston Childrens Hospital,3497084,Lab,79,64,15,0.810126582,0.189873418,5/1/15,col_17,row_02
"The Autistic Brain Over 45: The Anatomic, Functional, and Cognitive Phenotype","The behavioral and neuroscientific literature on children and adolescents with autism spectrum disorder (ASD) has grown dramatically over the past decades. In contrast, almost nothing is known about ASD later in life. This is problematic in view of preliminary findings suggesting that some older people with ASD may experience accelerated cognitive and neurological decline, combined with extensive evidence of age-related complications and decline in other neurodevelopmental disorders. The present ... more",San Diego State University,Ralph-Axel Mueller,San Diego State University,4249298,Lab,70,55,15,0.785714286,0.214285714,5/8/15,col_17,row_03
Cognitive Enhancement Therapy for Adult Autism Spectrum Disorder,"Autism spectrum disorder (ASD) is characterized by marked impairments in social and non-social cognitive ability that persist well into adulthood and contribute to significant functional disability. The treatment of ASD has focused almost exclusively on children, and few empirically supported interventions are available to address the core cognitive and functional challenges individuals with ASD face as they transition to adulthood. Cognitive rehabilitation has emerged as a set of systematic approaches ... more",University of Pittsburgh,Shaun Eack,University Of Pittsburgh At Pittsburgh,3242082,Lab,73,50,23,0.684931507,0.315068493,6/1/15,col_17,row_04
Change in social adaptive action and brain connectivity in infants first 6 months,"The current project will identify maturational changes in the infant brain that accompany important transitions in social behavior in the first 6 months of life. This work is motivated by a surprising feature of a recent study in which we identified the earliest known indicators of social disability in autism (Jones & Klin, Nature, 2013). The data falsified a prior hypothesis by revealing that eye-looking a basic mechanism of social adaptive action in typical infants was not immediately diminished ... more",Emory University School of Medicine,Warren Jones,Emory University,362438,Lab,38,25,13,0.657894737,0.342105263,6/15/15,col_17,row_05
Intergenerational Effects of Maternal Childhood Trauma on the Fetal Brain,"Exposure to severe trauma in childhood such as physical or sexual abuse represents one of the most pervasive and pernicious stressors in society. Its sequelae, which may endure over the entire lifespan, include depression, PTSD, endocrine and immune function dysregulation, obesity, substance abuse, and also increased likelihood of subsequent exposure to trauma in adulthood. Moreover, emerging evidence suggests the long shadow cast by childhood trauma may not be restricted to only the lifespan of ... more",University of California Irvine,Pathik Wadhwa,University Of California-Irvine,1604118,Lab,35,22,13,0.628571429,0.371428571,6/19/15,col_17,row_06
Development and validation of a brain maturation index using longitudinal neuroanatomical scans,"Background Major psychiatric disorders are increasingly being conceptualized as ‘neurodevelopmental’, because they are associated with aberrant brain maturation. Several studies have hypothesized that a brain maturation index integrating patterns of neuroanatomical measurements may reliably identify individual subjects deviating from a normative neurodevelopmental trajectory. However, while recent studies have shown great promise in developing accurate brain maturation indices using neuroimaging ... more",,,,,Paper,303,141,162,0.465346535,0.534653465,6/19/15,col_17,row_07
Recovery After an Initial Schizophrenia Episode - Implementation and Evaluation Study (RAISE-IES),"After the RAISE contract award, the NIMH identified a knowledge gap regarding system integration strategies. That led to the need to conduct a study of how to integrate an early intervention program into an existing service system. The RAISE Impact Evaluation Study (IES) used the RCP intervention model to identify strategies to facilitate the implementation of team-based care for first episode psychosis (FEP) within the U.S. healthcare system. The IES project had three aims: (1) To adapt a comprehensive ... more",,Lisa Dixon and Susan Essock,,,Lab,67,43,24,0.641791045,0.358208955,6/22/15,col_17,row_08
The Autism Biomarkers Consortium for Clinical Trials,"The goal of this consortium is to establish tools that can be used as biomarkers and/or sensitive and reliable objective assays of social impairment in autism spectrum disorder (ASD) clinical trials. Specifically, we aim to accelerate the development of effective treatments for social impairment in ASD by validating (a) outcome measures that will be sensitive and reliable assessments of response to treatment and EEG and (b) eye-tracking (ET) biomarkers that can be used to reduce heterogeneity of ... more",Yale Child Study Center,James McPartland,Yale University,29161446,Lab,446,331,115,0.742152466,0.257847534,7/1/15,col_17,row_09
Dissecting recurrent microdeletion syndromes using dual-guide genome editing,"Recurrent microdeletion syndromes (rMDS), such as those associated with 16p11.2, 1q21 and 22q11.2, represent a major component (10-15%) of the genetic etiology of neurodevelopmental disorders, including autism spectrum disorder (ASD). In each rMDS, a distinct set of genes is reproducibly reduced to haploid dosage due to non-allelic homologous recombination (NHAR) mediated by flanking segmental duplications. The neurodevelopmental phenotypes in rMDS could theoretically derive primarily from a single ... more",Massachusetts General Hospital,James Gusella,Massachusetts General Hospital,1161596,Lab,1,1,0,1,0,7/1/15,col_17,row_10
Early Brain Development in Twins,"Twin studies have provided fundamental information about how genes and environment contribute to individual differences in brain structure and cognitive function in health and psychiatric disease and how these influences change during development. Previous twin studies in older children, adolescents and adults indicate that genetic and environmental influences are region/structure specific and change with age. Early childhood is period of rapid structural and functional brain development that is ... more",University of North Carolina at Chapel Hill,John Gilmore,Univ Of North Carolina Chapel Hill,1422158,Lab,547,289,258,0.52833638,0.47166362,7/1/15,col_17,row_11
Biomarker and Safety Study of Clozapine in Benign Ethnic Neutropenia,"Clozapine is the most effective antipsychotic for the treatment of schizophrenia however it is underused particularly in the African American population. Low Absolute Neutrophil Counts (ANC), either baseline or during treatment (a drop in ANC below the threshold of 1500 mm3 currently mandates clozapine discontinuation) is a significant barrier to clozapine use in AA patients. Our pilot work finds that discontinuation of clozapine (particularly for neutropenia) in AA patients is over twice that in ... more","University of Maryland, Baltimore",Deanna Kelly,University Of Maryland Baltimore,1759430,Lab,101,63,38,0.623762376,0.376237624,7/1/15,col_17,row_12
1/3 Brain Function and Genetics in Pediatric Obsessive-Compulsive Behaviors,"Obsessive-compulsive behaviors (OCB) are common in children and adolescents. In addition to being the core features of obsessive-compulsive disorder (OCD), OCB are often associated in youth with tic, grooming, generalized anxiety, and autistic spectrum disorders. This competitive renewal application combines the unique clinical assessment, magnetic resonance imaging, and genetics expertise of three performance sites: Wayne State University (WSU), University of Michigan (UM), and the Hospital for ... more",Wayne State University,David Rosenberg,Wayne State University,2707278,Lab,500,217,283,0.434,0.566,7/1/15,col_17,row_13
Anxiety and reward interaction and prediction of outcomes in anorexia nervosa,"The purpose of this study is to understand anxiety and reward neural circuitry and their dynamic interactions, and how they predict behavioral outcomes in adolescents with anorexia nervosa AN subsequent to intensive treatment. AN is notorious for its resistance to interventions and for the highest mortality rate of all psychiatric disorders. Various forms of intensive treatment may succeed in partially or fully restoring weight, yet overall benefits of treatment remain limited and early relapse is ... more","University of California, Los Angeles",Jamie Feusner,University Of California Los Angeles,879775,Lab,63,0,63,0,1,7/5/15,col_17,row_14
The Sensitivity and Specificity of the Social Communication Questionnaire for Autism Spectrum Disorder with Respect to Age,Scientific Abstract The Social Communication Questionnaire (SCQ) assesses communication skills and social functioning in screening for symptoms of autism-spectrum disorder (ASD). The SCQ is recommended for individuals between 4 to 40 years with a cutoff score of 15 for referral. Mixed findings have been reported regarding the recommended cutoff score’s ability to accurately classify an individual as at-risk for ASD (sensitivity) versus an individual as not at-risk for ASD (specificity). Based on ... more,,,,,Paper,338,280,58,0.828402367,0.171597633,7/8/15,col_17,row_15
Revising the Social Communication Questionnaire scoring procedures for Autism Spectrum Disorder and potential Social Communication Disorder,"In analyzing data from the National Database for Autism Research, we examine revising the Social Communication Questionnaire (SCQ), a commonly used screening instrument for Autism Spectrum Disorder. A combination of Item Response Theory and Mokken scaling techniques were utilized to achieve this and abbreviated scoring of the SCQ is suggested. The psychometric sensitivity of this abbreviated SCQ was examined via bootstrapped Receiver Operator Characteristic (ROC) curve analyses. Additionally, we ... more",,,,,Paper,888,699,189,0.787162162,0.212837838,7/8/15,col_17,row_16
Internet Psychotherapy for Treating Bipolar Disorder in Primary Care,"Over a third of individuals with bipolar spectrum disorders (BP) are treated exclusively in primary care settings, and yet, primary care providers (PCPs) are ill-equipped to manage this complex and disabling illness. Medications, which can be prescribed by PCPs, hasten recovery from illness and improve long-term course of illness for those with BP, but relapse and residual symptoms are common when individuals are treated with pharmacotherapy alone. Best practices treatment for BP includes adjunctive, ... more",University of Pittsburgh,Holly Swartz,University Of Pittsburgh At Pittsburgh,707095,Lab,47,12,35,0.255319149,0.744680851,7/13/15,col_17,row_17
Impulsivity as Immaturity: Mapping Dysmaturation of the Brains Control Architecture in Youth Externalizing Psychopathology,"Youth with externalizing psychopathologies, including attention-deficit hyperactivity disorder, oppositional defiant disorder, and conduct disorder, present with diverse kinds of impulsivity symptoms, which in turn reflect deficits in regulatory control functioning. An emerging neurodevelopmental model, which we call the Impulsivity as Immaturity Model, could potentially transform our understanding of the brain basis of regulatory dysfunction. The brains regulatory control architecture RCA undergoes ... more",University of Michigan,Chandra Sripada,University Of Michigan At Ann Arbor,2340203,Lab,255,129,126,0.505882353,0.494117647,7/13/15,col_17,row_18
Paternal sperm DNA methylation associated with early signs of autism risk in an autism-enriched cohort,"Epigenetic mechanisms such as altered DNA methylation have been suggested to play a role in autism, beginning with the classical association of Prader-Willi syndrome, an imprinting disorder, with autistic features. Here we tested for the relationship of paternal sperm DNA methylation with autism risk in offspring, examining an enriched-risk cohort of fathers of autistic children. We examined genome-wide DNA methylation (DNAm) in paternal semen biosamples obtained from an autism spectrum disorder ... more",,,,,Paper,44,44,0,1,0,7/14/15,col_17,row_19
Multimodel Assessment of Social Process Systems across Neurodevelopmental Disorders,"Disruption of social process systems is a hallmark of multiple neurodevelopmental disorders, resulting in significant functional impairment for affected individuals and substantial public health costs. This project proposes to examine the relationship between social performance and Reception of Facial Communication (a subconstruct within the Social Communication construct of the RDoC Social Processes domain) across multiple levels of analysis, spanning self-report, behavior, and physiology. Dimensional ... more",Yale Child Study Center,James McPartland,Yale University,650980,Lab,176,127,49,0.721590909,0.278409091,7/15/15,col_17,row_20
Quantitative Measurements of Cortical Excitability in Neurodevelopmental Disorder,"Neurodevelopmental disorders, such as autism spectrum disorder (ASD) and attention deficit hyperactivity disorder (ADHD), are characterized by abnormalities in baseline cortical excitability that are believed to be caused by an abnormal, system-wide balance between excitation and inhibition. Mounting evidence has linked baseline cortical excitability to abnormalities in the sensory systems. as manifested by both over- and hyporeactivity to sensory stimuli and by the high prevalence of epileptiform ... more",Stanford University,Antonio Hardan,Stanford University,434750,Lab,92,72,20,0.782608696,0.217391304,7/15/15,col_17,row_21
Neuronal Correlates of Autistic Traits in ADHD and Autism,"This study aims to conduct the first investigation of the neurobiological underpinnings of social communicative impairments, i.e., autistic traits (AT), in children with ADHD and ASD. AT, a key feature of autism spectrum disorder (ASD), occurs in 20-30% of children with ADHD. These children incur relatively elevated school failure and poor global functioning, highlighting the clinical significance of AT in children with ADHD (ADHD+AT). We aim to advance our understanding of AT across ADHD and ASD, ... more",Child Mind Institute,Adriana Di Martino,"Child Mind Institute, Inc.",3673842,Lab,101,75,26,0.742574257,0.257425743,7/20/15,col_18,row_01
Multilevel Biomarkers for Suicidal Behavior: From Interpersonal Stress to Gene Expression in a Longitudinal Study of Adolescent Girls,"In response to public calls from the US President, Congress, Surgeon General, and a recent NIMH-cosponsored Suicide Research Prioritization Agenda, the proposed research will examine how suicidal ideation and attempts develop within one of the most vulnerable populations at risk for suicide (i.e., adolescent girls). This work will examine how girls' atypical acute stress responses to interpersonal stress at physiological, genomic, and behavioral units of analysis moderate the association between ... more",University of North Carolina at Chapel Hill,Mitchell Prinstein,Univ Of North Carolina Chapel Hill,1743016,Lab,229,0,229,0,1,7/25/15,col_18,row_02
Whole Genome Sequencing of Autistic Children and Families from Serbia and the U.S.,This project uses Complete Genomics' LFR and standard sequencing techniques to identify causal variants linked to autism,Complete Genomics,Brock Peters,,,Lab,14,9,5,0.642857143,0.357142857,7/26/15,col_18,row_03
Lithium Use for Bipolar Disorder (LiTMUS): A Randomized Controlled Effectiveness Trial,"In this project, 283 bipolar disorder outpatients were randomly assigned to 6 months of open, flexible, moderate dosages of ""lithium plus OPT"" or to 6 months of ""OPT alone"". The primary outcome measures were the Clinical Global Impression Scale for Bipolar Disorder--Severity (CGI-BP-S) and ""necessary clinical adjustments"" (medication adjustments per month). Secondary outcome measures included mood symptoms and functioning. Also sustained remission was assessed (defined as a CGI-BPS score #2 for ... more",,Andrew A. Nierenberg,,,Lab,331,145,186,0.438066465,0.561933535,7/30/15,col_18,row_04
Acute Neurocognitive-affective Predictors of Chronic Post-trauma Outcomes,"Trauma exposure is extremely common and increases risk for a host of negative health outcomes, most notably posttraumatic stress disorder (PTSD). Given the potential harmful sequelae of trauma exposure, it is crucial to identify acute post-trauma risk factors that predict chronic PTSD and other poor post-trauma outcomes. While some progress has been made in this effort, attempts to identify recently traumatized individuals at risk for poor long-term post-trauma adjustment have proven difficult. In ... more",University of Wisconsin-Milwaukee,Christine Larson,University Of Wisconsin Milwaukee,3074715,Lab,261,123,138,0.471264368,0.528735632,8/1/15,col_18,row_05
Cognitive-Affective Psychosis Proneness Risk and protective factors in 22q11.2DS,"This project studies risk and protective factors for the very high risk of schizophrenia in chromosome 22q11.2 deletion syndrome (22q), a disorder with a clear genetic etiology but with a complex and variable phenotype. It takes advantage of the unique nature of the 22q population, which has a genetically conferred high risk for schizophrenia yet also provides the rare opportunity for long range prospective developmental studies. Recognizing that, in a population where up to 30% of those affected ... more","University of California, Davis",Tony Simon,University Of California At Davis,1465153,Lab,112,55,57,0.491071429,0.508928571,8/1/15,col_18,row_06
"Puberty, neural systems for social processes, and early adolescent mental health: A longitudinal neuroimaging study","Adolescence is a period of dramatic developmental transitions - from puberty-related changes in hormones, bodies, and brains to a complex psychological reorientation to the social world. The concurrent and marked increase in the onset of many psychiatric syndromes has prompted the search for key developmental processes that drive changes in risk for psychopathology during this period of life. Pubertal development is a prime candidate, but the precise neurobiological mechanisms via which puberty impacts ... more",University of Oregon,Jennifer Pfeifer,University Of Oregon,1201423,Lab,172,0,172,0,1,8/1/15,col_18,row_07
Stepped Care for Children after Trauma: Optimizing Treatment,"Approximately 68-80% of youth will experience at least one potentially traumatic event during their childhood with about one third experiencing more than one traumatic event. Exposure to traumatic events markedly elevates the risk of developing posttraumatic stress disorder (PTSD) and associated impairment. Despite advances in effective trauma-focused treatments for children, the lack of efficient, accessible, personalized, and cost-effective trauma treatment for children is a major public health ... more",University of South Florida,Alison Salloum,University Of South Florida,2185618,Lab,184,82,102,0.445652174,0.554347826,8/1/15,col_18,row_08
The role of parent phenotype in parent-mediated language interventions for autism,"High dosage of early intervention is critical to language skill development in young children with autism spectrum disorders (ASD) (Dawson et al., 2010) and including parents is a cost-effective approach to maximize intervention dosage. However, parent-mediated interventions have inconsistent effects on parent and child outcomes (Oono, Honey, & McConachie, 2013). This variability is likely because parents do not have the same training as clinicians and little effort has been spent examining parent ... more",Northwestern University,Megan Roberts,Northwestern University,2253794,Lab,290,168,122,0.579310345,0.420689655,8/1/15,col_18,row_09
Thalamic activity and structure and surface neural oscillations in autism,"Atypical neural activity at the brain surface is frequently reported in individuals with autism spectrum disorder (ASD). Many researchers hypothesize that this atypical surface neural activity is due to an incorrect balance in the brain chemicals that control the firing rate of neurons. Although there is evidence to support this hypothesis, a more important influence on surface brain rhythms may be the contribution of deeper and more central brain structures to surface brain activity. One of these ... more",Children's Hospital of Philadelphia,James (Christopher) Edgar,Childrens Hosp Of Philadelphia,389562,Lab,38,38,0,1,0,8/1/15,col_18,row_10
Enhancing Social Cognitive Training with Oxytocin: Linking Target Engagement to Clinical Effects,"Intranasal oxytocin (OT) has shown promise as an agent that can effectively improve social processing in disorders that are characterized by impairments in social behaviors, including schizophrenia. However, important gaps in our understanding of OTs effects on the brain have greatly limited its development as a therapeutic agent and made it difficult to interpret mixed research findings. One very important therapeutic function of OT may be its ability to enhance learning of social information. The ... more",VA Greater Los Angeles Healthcare System,Stephen Marder,University Of California Los Angeles,2524007,Lab,55,41,14,0.745454545,0.254545455,8/15/15,col_18,row_11
Social affiliation in psychosis: Mechanisms and vulnerability factors,"Human beings have a fundamental ""need to belong."" We are powerfully motivated to seek out, engage in, and maintain strong interpersonal attachments. Developing and maintaining close relationships, however, is not an easy task for many people with mental illnesses. Disturbances in social motivation are particularly debilitating, costly, and poorly understood in people with psychosis-related psychopathology (PRP). The RDoC affiliation construct provides a foundation for conceptualizing and unpacking ... more","University of California, Los Angeles",William Horan,University Of California Los Angeles,1892640,Lab,200,132,68,0.66,0.34,8/17/15,col_18,row_12
Familial Early-Onset Suicide Attempt Biomarkers,"""The suicide rate in the USA is the same as 60 years ago. Better prevention needs more data on risk and resilience biomarkers. We seek to determine both resilience and vulnerability potential endophenotypes for suicide attempts in major depressive disorder (MDD). Both endophenotypes may aid estimation of risk and provide new targets for prevention intervention. The study design compares healthy volunteers (Group 1) with medication-free adult offspring of a parent with MDD and suicidal behavior who ... more",New York State Psychiatric Institute,Joseph Mann and David Brent,University Of Pittsburgh At Pittsburgh,1431743,Lab,144,47,97,0.326388889,0.673611111,8/20/15,col_18,row_13
Cortical underconnectivity coupled with preserved visuospatial cognition in autism: Evidence from an fMRI study of an embedded figures task.,"Individuals with high-functioning autism sometimes exhibit intact or superior performance on visuospatial tasks, in contrast to impaired functioning in other domains such as language comprehension, executive tasks, and social functions. The goal of the current study was to investigate the neural bases of preserved visuospatial processing in high-functioning autism from the perspective of the cortical underconnectivity theory. We used a combination of behavioral, functional magnetic resonance imaging, ... more",,,,,Paper,17,17,0,1,0,8/21/15,col_18,row_14
Autonomy of lower-level perception from global processing in autism: evidence from brain activation and functional connectivity.,"Previous behavioral studies have shown that individuals with autism are less hindered by interference from global processing during the performance of lower-level perceptual tasks, such as finding embedded figures. The primary goal of this study was to examine the brain manifestation of such atypicality in high-functioning autism using fMRI. Fifteen participants with high-functioning autism and fifteen age- and IQ-matched typical controls were asked to perform a lower-level perceptual line-counting ... more",,,,,Paper,27,26,1,0.962962963,0.037037037,8/21/15,col_18,row_15
The neural basis of deictic shifting in linguistic perspective-taking in high-functioning autism,"Personal pronouns, such as 'I' and 'you', require a speaker/listener to continuously re-map their reciprocal relation to their referent, depending on who is saying the pronoun. This process, called 'deictic shifting', may underlie the incorrect production of these pronouns, or 'pronoun reversals', such as referring to oneself with the pronoun 'you', which has been reported in children with autism. The underlying neural basis of deictic shifting, however, is not understood, nor has the processing ... more",,,,,Paper,29,28,1,0.965517241,0.034482759,8/21/15,col_18,row_16
Distinctive Neural Processes during Learning in Autism,"This functional magnetic resonance imaging study compared the neural activation patterns of 18 high-functioning individuals with autism and 18 IQ-matched neurotypical control participants as they learned to perform a social judgment task. Participants learned to identify liars among pairs of computer-animated avatars uttering the same sentence but with different facial and vocal expressions, namely those that have previously been associated with lying versus truth-telling. Despite showing a behavioral ... more",,,,,Paper,32,30,2,0.9375,0.0625,8/21/15,col_18,row_17
Multimodal Imaging of Early Neural Signature in Autism Spectrum Disorder,"The high and rapidly increasing prevalence of autism spectrum disorder (ASD) presents a major public health challenge, as costs of care and the need for more effective interventions are growing. While classified as a brain development disorder, its diagnostic criteria remain entirely behavioral because reliable biomarkers have yet to be established. Despite a growing number of findings converging on network dysfunction and abnormal brain connectivity as potential biomarkers of the disorder, the precise ... more",San Diego State University,Inna Fishman,San Diego State University,2563564,Lab,67,47,20,0.701492537,0.298507463,9/1/15,col_18,row_18
Cognitive and Neural Flexibility in Autism,"Autism spectrum disorder (ASD) is a complex neurodevelopment disorder of largely unknown etiology affecting 1 in 68 children. While much progress has been made towards understanding the neurobiology of social and communication deficits associated with the disorder, very little is known regarding the neurobiological basis of restricted and repetitive behaviors central to the ASD diagnosis. The goal of the current project is to understand the relationship between cognitive flexibility and brain function ... more",University of Miami,Lucina Qazi Uddin,University Of Miami Coral Gables,1531926,Lab,211,140,71,0.663507109,0.336492891,9/8/15,col_18,row_19
Amish Connectome Project on Mental Illness,The Amish Connectome Project (ACP) will extend the Human Connectome Project (HCP) to mental illnesses by characterizing brain circuitry and its relation to psychiatric behavior and symptom dimensions. We propose to collect HCP connectomics and whole exome sequencing data in Old Order Amish (OOA) adults recruited from multigenerational families with multiplex mental disorders spanning diagnostic boundaries. Large nuclear families with two or more members with major DSM-5 disorder will be recruited ... more,University of Maryland,Elliott Hong,University Of Maryland Baltimore,4318326,Lab,344,142,202,0.412790698,0.587209302,9/10/15,col_18,row_20
Sensory Integration Therapy in Autism: Mechanisms and Effectiveness,"Autism Spectrum Disorders ASD are one of the most commonly occurring neurodevelopmental disorders, affecting 1 in 68 children, frequently resulting in impairments in the functional skills necessary for independent living, and presenting a significant impact on families and society. Up to 90 percent of individuals with ASD present with difficulties processing and integrating sensory information and these have been shown to be a significant factor impacting functional skills. Intervention for these ... more",Albert Einstein College of Medicine,Sophie Molholm and Roseann Schaaf,"Albert Einstein College Of Medicine, Inc",3177706,Lab,85,74,11,0.870588235,0.129411765,9/15/15,col_18,row_21
"Dimensional analysis of developmental brain disorders using an online, genome-first approach","Developmental brain disorders (DBD) describe a wide range of developmental and psychiatric disorders,), that are etiologically heterogeneous with variable impacts on neurodevelopmental functioning. While specific manifestations of DBD have historically been categorized as distinct developmental and psychiatric diagnoses (e.g., autism spectrum disorders (ASD) and schizophrenia (SCZ)), there is significant clinical overlap among the behavioral features of these disorders. In addition, genomics research ... more",Geisinger,Christa Martin,Geisinger Clinic,2831740,Lab,842,400,442,0.475059382,0.524940618,9/15/15,col_19,row_01
Development of infant brain MEG responses to social stimuli: comparison to ASD,"Orienting to face stimuli is a skill that emerges in the first year of life and that continues to develop over time. Failure to detect or respond to faces i one of the earliest hallmarks and predictors of autism spectrum disorder (ASD). Disruption in the early instantiation of the social brain networks results in lifelong social communication impairments in ASD. These social impairments in ASD are due, in part, to atypical eye gaze (findings from eye tracking studies) and abnormal neural activity ... more",The Children's Hospital of Philadelphia,Yuhan Chen,Childrens Hosp Of Philadelphia,881390,Lab,37,27,10,0.72972973,0.27027027,9/15/15,col_19,row_02
